,name,conditional_probability,percentile,adjusted_p_value,should accept
180934,hydroxyl|wormwood,0.001988071570576541,0.23649534939184355,0.00819415436102256,True
180944,hydroxyl|other,0.0029455081001472753,0.27235869305986166,0.010795905125802032,True
180959,hydroxyl|ibogaine,0.0019960079840319364,0.2397746243739566,0.00819415436102256,True
180962,hydroxyl|amphetamine,0.00104675505931612,0.1588957786787503,0.00630765817095965,True
181118,simethicone|sertraline,0.005847953216374269,0.3894288099212974,0.014976618009624253,True
181413,simethicone|tryptamine,0.0005931198102016608,0.10010732172668733,0.005396009230997905,True
181663,donepizil|caffeine,0.0006020469596628537,0.10699379918912473,0.005396009230997905,True
181690,donepizil|cocaine,0.0003965107057890563,0.056582399236823275,0.005396009230997905,True
182090,donepizil|adrafinil,0.010416666666666666,0.4811888862389697,0.021598261012898173,True
182132,donepizil|methamphetamine,0.0006798096532970769,0.122466014786549,0.005396009230997905,True
182232,donepizil|amphetamine,0.0003489183531053734,0.04504531361793465,0.005396009230997905,True
182301,xanthoparmelia|cannabimimetic,0.02127659574468085,0.6733842117815406,0.03155181819892018,True
182928,methylenedioxypyrovalerone|LSD,0.00017593244194229416,0.004441927021225853,0.005396009230997905,True
182950,methylenedioxypyrovalerone|insulin,0.006289308176100629,0.3963450989744813,0.015812363473176397,True
182960,methylenedioxypyrovalerone|cocaine,0.0003965107057890563,0.056582399236823275,0.005396009230997905,True
183032,methylenedioxypyrovalerone|sodium,0.0013774104683195593,0.18915454328642978,0.007185669789939549,True
183122,methylenedioxypyrovalerone|serotonin,0.0005022601707684581,0.07393274505127594,0.005396009230997905,True
183147,methylenedioxypyrovalerone|mephedrone,0.011952191235059762,0.5059921297400429,0.02361712433958793,True
183150,methylenedioxypyrovalerone|k2,0.017543859649122806,0.6466134032911997,0.027111915049763912,True
183159,methylenedioxypyrovalerone|methylphenidate,0.0030769230769230774,0.2769794896255664,0.011017539249819353,True
183193,methylenedioxypyrovalerone|MDMA,0.0008727907484180668,0.1466730264726926,0.005940927935254796,True
183204,methylenedioxypyrovalerone|epinephrine,0.00202020202020202,0.24436560934891485,0.00819415436102256,True
183270,methylenedioxypyrovalerone|cathinone,0.005128205128205128,0.3665036966372526,0.013780772978773403,True
183353,methylenedioxypyrovalerone|phenethylamine,0.0007412898443291328,0.13260195564035296,0.005455424865769291,True
183402,methylenedioxypyrovalerone|methamphetamine,0.0020394289598912306,0.2476150727402814,0.00822440550980902,True
183472,methylenedioxypyrovalerone|paroxetine,0.0055248618784530384,0.3860004769854519,0.014269015002373632,True
183502,methylenedioxypyrovalerone|amphetamine,0.0006978367062107467,0.12720605771523968,0.005436190077364907,True
183619,escholidine|opioids,0.0002671653753673524,0.021851896017171475,0.005396009230997905,True
183651,escholidine|morphine,0.0005753739930955121,0.09292272835678511,0.005396009230997905,True
183661,escholidine|anxiolytic,0.004329004329004329,0.3387789172430241,0.012702249931081282,True
