,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,esp,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,chemical process,infectious,cognitive ability,behavior,integumentary
lsa,51,20,1,5,13,12,1,10,3,1,1,17,1,1,0,3,23,2,14,7,0,5,8,5,23,5,1,0,9,5,13,28,5
sertraline,10,8,0,1,3,5,0,3,2,1,0,2,0,0,0,0,6,0,6,4,0,1,3,1,11,1,0,0,3,1,3,5,0
tramadol,25,9,0,0,4,8,0,4,3,1,0,4,0,0,0,0,12,1,7,3,1,2,7,0,14,0,0,0,2,1,6,9,2
levamisole,5,0,2,0,3,3,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,2,2,8,0,1,0,0,1,2,4,1
paracetamol,12,5,0,0,2,5,0,1,2,0,0,0,0,1,0,0,7,0,3,1,0,1,5,0,9,0,0,0,1,1,6,3,1
lsz,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0
ephedra,23,14,1,3,8,6,0,6,3,1,0,5,1,0,0,2,11,3,10,4,1,3,7,7,17,2,1,0,3,2,6,7,1
police,51,22,1,3,14,9,0,7,3,2,2,13,1,1,0,3,21,1,16,6,0,5,9,9,31,6,1,0,6,9,10,25,5
methylone,32,16,1,3,8,4,0,4,1,1,3,6,1,0,0,1,18,0,8,5,0,2,8,5,19,1,0,0,2,2,6,14,2
willow,24,8,0,1,7,4,0,0,4,1,1,5,1,0,1,0,6,0,8,3,0,4,6,6,16,1,0,0,3,1,4,16,1
vinpocetine,4,3,0,0,1,2,0,2,0,0,0,0,0,0,0,0,3,0,5,1,0,0,5,0,7,1,0,0,0,0,3,1,0
pcp,43,19,0,3,13,10,0,9,4,2,2,9,2,2,1,2,25,1,17,7,0,5,8,7,21,4,0,0,7,8,7,23,4
midazolam,6,7,0,0,3,2,0,10,0,0,1,0,0,1,1,0,3,1,7,1,0,1,2,1,10,1,0,0,1,1,2,3,2
pyridoxine,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pharms,8,4,0,1,1,3,1,1,1,0,0,0,1,1,0,0,11,0,7,3,0,2,5,1,13,0,0,0,1,0,4,5,0
psychoactives,38,13,1,1,10,7,0,3,2,1,2,10,0,1,0,1,21,1,11,6,0,5,6,5,17,3,0,0,5,0,7,19,1
coffee,67,27,4,6,21,15,2,15,6,3,2,17,3,1,1,3,28,1,22,8,1,9,10,11,35,10,1,0,9,8,13,34,4
opiods,12,7,0,0,4,6,0,3,1,1,1,1,1,0,0,0,9,1,1,3,0,2,5,1,11,1,0,0,2,4,4,3,0
barbituates,11,6,0,0,2,3,0,1,1,0,0,4,1,0,0,0,7,0,4,3,1,1,4,0,10,0,0,0,1,0,4,2,1
sonata,13,4,0,1,7,6,0,0,3,0,1,3,0,0,0,0,4,0,7,2,0,4,1,5,11,1,0,0,1,1,4,10,1
silver,32,15,1,1,12,5,0,10,3,1,1,4,2,1,1,0,19,1,9,6,1,4,7,3,17,4,0,0,4,3,8,16,2
n02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
ecstacy,36,14,0,0,6,4,0,7,2,1,1,8,2,1,0,3,16,1,10,5,0,6,6,4,16,1,0,0,4,0,7,14,1
ayahuasca,60,26,3,2,20,11,0,11,5,2,1,17,2,0,0,3,28,1,16,6,1,10,7,10,32,5,0,0,9,9,9,34,4
ethylone,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,4,0,0,0,0,1,2,3,0
alchohol,23,9,0,1,6,6,0,5,2,2,1,5,1,0,0,1,14,0,9,4,0,3,6,2,15,2,0,0,4,0,7,12,3
thyme,4,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,6,0,1,1,0,0,1,0,7,0,0,0,0,0,2,2,1
dextromethorphan,32,18,0,5,10,9,0,7,2,1,1,7,1,3,0,1,24,0,13,3,0,4,6,1,13,1,1,0,4,0,7,14,2
concerta,3,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,0,3,0,0,0,0,0,0,0,0
dlpa,7,3,0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,3,0
lucidril,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0
dimenhydrinate,12,12,0,0,3,7,0,3,1,1,0,4,1,0,1,0,10,0,2,3,0,1,6,2,9,1,0,0,2,2,3,7,1
atomoxetine,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,1,1,0,0
nicotine,43,23,1,2,14,10,0,11,3,3,3,7,1,2,0,2,22,1,11,6,1,7,7,9,22,4,1,0,4,7,11,25,2
naloxone,12,8,0,0,6,7,0,6,1,2,1,1,1,0,1,0,10,1,9,2,0,4,4,1,9,2,0,0,1,0,5,4,2
ultracet,5,2,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,2,0
celexa,15,8,0,0,2,4,0,4,2,1,0,2,0,0,0,0,6,0,3,3,0,1,3,2,9,1,0,0,3,2,3,2,0
mda,45,20,0,6,12,10,1,14,4,3,1,12,4,1,0,4,26,1,11,6,0,6,10,6,19,5,1,0,4,7,8,24,3
product,69,29,6,7,23,14,0,20,9,6,2,19,4,5,4,5,36,3,26,6,3,10,11,15,42,11,2,0,15,16,16,41,6
mde,13,4,1,2,3,2,0,3,2,0,1,4,1,1,0,1,13,0,2,2,0,0,3,2,7,1,0,0,3,0,3,6,0
phentermine,5,4,0,1,3,2,0,1,0,2,0,2,1,0,0,0,6,1,4,2,0,3,2,0,7,0,0,0,0,0,2,3,0
seroxat,7,7,0,0,2,4,0,2,2,0,0,0,0,0,0,0,5,0,2,1,0,1,2,1,5,1,0,0,2,1,3,2,0
xyrem,5,3,0,0,1,1,0,4,0,0,0,1,0,0,0,0,2,0,5,0,0,0,2,3,5,0,0,0,1,1,1,3,0
